uid,pid,ptm,pen,desc,cat,pey,act
58491,653141,BUF,CG-1250,Offensive Holding,2,10,A
58492,653148,BUF,AD-1300,Running Into the Kicker,6,0,D
58493,653149,BUF,CG-1250,Offensive Holding,2,10,A
58494,653153,BUF,CS-0850,Delay of Game,3,5,A
58495,653179,BUF,PB-0750,Personal Foul,6,15,A
58496,653190,MIA,JT-0850,Defensive Pass Interference,5,4,A
58497,653193,WAS,TW-2800,False Start,1,5,A
58498,653210,MIA,CW-0100,Defensive Offside,4,5,A
58499,653223,MIA,JJ-0650,Illegal Formation,3,0,D
58500,653227,WAS,PG-0100,Offensive Pass Interference,2,10,A
58501,653233,WAS,JR-1150,Offensive Holding,2,10,A
58502,653253,WAS,CB-0200,Roughing the Passer,6,15,A
58503,653256,WAS,CC-5300,Illegal Use of Hands,5,0,D
58504,653281,MIA,MD-0125,Delay of Game,3,5,A
58505,653282,MIA,BM-0775,Unsportsmanlike Conduct,6,15,A
58506,653283,WAS,MM-5450,False Start,1,5,A
58507,653286,MIA,JT-0850,Defensive Holding,5,5,A
58508,653290,WAS,KC-2350,Delay of Game,3,5,A
58509,653291,WAS,JR-1150,Offensive Pass Interference,2,9,A
58510,653292,WAS,TN-0650,Offensive Holding,2,10,A
58511,653301,WAS,KR-0950,Defensive Pass Interference,5,3,A
58512,653304,MIA,RT-0150,Delay of Game,3,5,A
58513,653308,WAS,DC-0775,Offensive Holding,2,10,A
58514,653310,WAS,MM-5450,Personal Foul,6,6,A
58515,653311,WAS,MM-5450,Offensive Holding,2,0,D
58516,653311,WAS,,Illegal Formation,3,0,D
58517,653360,CAR,GO-0100,Offensive Pass Interference,2,10,A
58518,653367,JAC,BL-1150,Illegal Use of Hands,2,0,D
58519,653388,JAC,AC-2250,Illegal Block Above the Waist,7,10,A
58520,653407,JAC,AC-2250,Defensive Holding,5,5,A
58521,653444,JAC,LJ-0750,Offensive Holding,2,10,A
58522,653458,CAR,RK-0100,Ineligible Downfield Pass,3,5,A
58523,653462,JAC,SY-0100,Offensive Holding,2,0,D
58524,653477,CAR,TW-2250,Illegal Block Above the Waist,7,7,A
58525,653513,STL,ES-0800,Defensive Offside,4,0,D
58526,653520,SEA,RW-3850,Delay of Game,3,5,A
58527,653525,STL,JB-6725,False Start,1,0,A
58528,653543,STL,RQ-0200,Roughing the Passer,6,15,A
58529,653545,SEA,JS-7450,False Start,1,5,A
58530,653548,SEA,MB-1900,Defensive Offside,4,5,A
58531,653552,STL,GR-0450,Offensive Holding,2,10,A
58532,653565,SEA,DC-2850,Illegal Formation,3,5,A
58533,653579,SEA,JR-3700,Delay of Game,3,0,D
58534,653584,STL,NF-0250,Illegal Motion,3,0,D
58535,653594,SEA,AR-2000,Unnecessary Roughness,6,15,A
58536,653598,SEA,MB-1900,Defensive Offside,4,1,A
58537,653605,SEA,KP-0650,Ineligible Downfield Kick,3,0,D
58538,653616,SEA,TL-1025,Offensive Holding,2,10,A
58539,653656,STL,RS-0100,False Start,1,5,A
58540,653688,ARI,JC-4550,Offensive Holding,2,10,A
58541,653691,NO,DS-5137,Face Mask,6,9,A
58542,653703,ARI,AO-0370,Defensive Offside,4,5,A
58543,653728,NO,DB-3750,Defensive Pass Interference,5,17,A
58544,653728,NO,BB-3400,Defensive Holding,5,0,D
58545,653728,NO,DB-3750,Illegal Contact,5,0,D
58546,653730,ARI,JV-0300,False Start,1,5,A
58547,653739,ARI,,12 On-field,3,5,A
58548,653754,NO,JE-1000,False Start,1,5,A
58549,653780,NO,ZS-0200,Offensive Holding,2,10,A
58550,653789,NO,DB-3750,Defensive Holding,5,4,A
58551,653793,ARI,PP-0400,Defensive Holding,5,5,A
58552,653813,NO,DB-3750,Defensive Holding,5,5,A
58553,653816,NO,KW-2100,Defensive Pass Interference,5,23,A
58554,653850,NO,JE-1000,Offensive Holding,2,0,D
58555,653905,DET,JI-0200,Personal Foul,6,15,A
58556,653910,DET,TW-0160,Encroachment,4,5,A
58557,653914,SD,DB-6300,Face Mask,6,15,A
58558,653921,DET,JJ-4300,Neutral Zone,4,5,A
58559,653925,SD,CW-1050,False Start,1,5,A
58560,653964,DET,SM-0650,Delay of Game,3,4,A
58561,653973,SD,PR-0300,Delay of Game,3,5,A
58562,653978,SD,DB-6300,Illegal Use of Hands,5,5,A
58563,653987,SD,CW-1050,Offensive Holding,2,10,A
58564,654009,TB,MW-3600,Unnecessary Roughness,6,15,A
58565,654026,TEN,JP-3875,False Start,1,5,A
58566,654029,TB,DL-0400,Neutral Zone,4,5,A
58567,654049,TEN,TL-0775,Offensive Holding,2,10,A
58568,654051,TEN,CS-3900,Offensive Holding,2,0,O
58569,654051,TB,AV-0300,Defensive Pass Interference,5,0,O
58570,654054,TB,JB-1250,Illegal Block Above the Waist,7,10,A
58571,654060,TEN,CW-0650,False Start,1,5,A
58572,654084,TB,GC-0400,False Start,1,5,A
58573,654085,TB,DS-3037,Offensive Holding,2,0,O
58574,654085,TEN,JC-1700,Personal Foul,6,0,O
58575,654089,TB,GC-0400,Offensive Holding,2,10,A
58576,654097,TEN,AF-0200,Offensive Holding,2,10,A
58577,654100,TB,AV-0300,Defensive Pass Interference,5,16,A
58578,654104,TB,LM-0200,Offensive Holding,2,10,A
58579,654116,TB,AS-0550,False Start,1,1,A
58580,654117,TB,GC-0400,Illegal Formation,3,0,D
58581,654121,TEN,,Illegal Formation,3,5,A
58582,654129,TEN,DM-3600,Neutral Zone,4,5,A
58583,654132,TB,,Illegal Formation,3,5,A
58584,654138,TEN,CW-0650,Offensive Holding,2,10,A
58585,654152,TB,VJ-0100,Offensive Pass Interference,2,10,A
