uid,pid,ptm,pen,desc,cat,pey,act
59228,659861,BUF,,Defensive Holding,5,6,A
59229,659863,BUF,NR-0350,Defensive Holding,5,0,D
59230,659877,MIA,JD-2512,False Start,1,5,A
59231,659890,MIA,JS-7050,False Start,1,5,A
59232,659903,CHI,JC-3100,Delay of Game,3,5,A
59233,659918,CHI,KL-1350,False Start,1,5,A
59234,659948,SEA,JB-5750,Offensive Holding,2,6,A
59235,659952,CHI,,Offensive Holding,2,10,A
59236,659961,SEA,RO-0400,False Start,1,5,A
59237,659986,CHI,VD-0300,Offensive Holding,2,10,A
59238,659987,CHI,JC-3100,Delay of Game,3,5,A
59239,659991,SEA,,Illegal Block Above the Waist,7,10,A
59240,660000,SEA,RL-1100,Unnecessary Roughness,6,15,A
59241,660028,SEA,JB-5750,False Start,1,5,A
59242,660041,CHI,LH-1900,Neutral Zone,4,5,A
59243,660048,DEN,VM-0300,Defensive Offside,4,5,A
59244,660059,DET,CL-1750,False Start,1,5,A
59245,660066,DET,JI-0200,Unnecessary Roughness,6,15,A
59246,660073,DEN,CH-1500,Defensive Pass Interference,5,23,A
59247,660101,DET,EA-0550,Unnecessary Roughness,6,15,A
59248,660105,DEN,VM-0300,Roughing the Passer,6,15,A
59249,660112,DEN,AT-0100,Defensive Pass Interference,5,1,A
59250,660122,DEN,DT-0900,Unsportsmanlike Conduct,6,15,A
59251,660128,DET,TL-0850,Defensive Holding,5,5,A
59252,660132,DEN,SW-1750,Unnecessary Roughness,6,15,A
59253,660135,DET,LT-0650,Offensive Holding,2,10,A
59254,660142,DEN,TS-0150,Offensive Holding,2,10,A
59255,660151,DET,EE-0050,Offensive Pass Interference,2,10,A
59256,660160,DET,EE-0050,Illegal Formation,3,0,D
59257,660168,DEN,MP-0250,False Start,1,5,A
59258,660179,DET,DS-2250,Illegal Formation,3,5,A
59259,660185,DET,LW-0050,False Start,1,5,A
59260,660206,DET,LW-0050,False Start,1,5,A
59261,660207,DEN,DB-5100,Illegal Contact,5,5,A
59262,660235,KC,MC-2570,Defensive Holding,5,5,A
59263,660238,KC,JH-5550,12 On-field,3,5,A
59264,660239,KC,EB-0800,Illegal Contact,5,5,A
59265,660254,GB,DB-0350,Offensive Holding,2,10,A
59266,660260,GB,JE-0350,Illegal Contact,5,5,A
59267,660261,GB,CH-2250,Unsportsmanlike Conduct,6,9,A
59268,660271,KC,MC-2570,Illegal Contact,5,5,A
59269,660273,GB,TM-3150,Offensive Pass Interference,2,10,A
59270,660285,GB,TM-3150,Illegal Use of Hands,2,10,A
59271,660290,KC,JH-5550,12 On-field,3,5,A
59272,660290,KC,RP-0200,Defensive Holding,5,0,D
59273,660291,KC,TH-0200,Defensive Offside,4,0,D
59274,660307,GB,QR-0100,Face Mask,6,15,A
59275,660316,GB,DB-0750,Face Mask,6,0,D
59276,660317,KC,TB-2400,Offensive Holding,2,7,A
59277,660318,GB,BR-0100,Encroachment,4,5,A
59278,660320,KC,DS-4050,Unnecessary Roughness,6,6,A
59279,660321,KC,BG-2200,Offensive Holding,2,0,D
59280,660332,KC,LD-1000,Offensive Holding,2,0,D
59281,660342,KC,DF-1350,Defensive Offside,4,0,D
59282,660350,GB,DR-0450,Defensive Holding,5,5,A
59283,660354,GB,HC-0050,Unnecessary Roughness,6,5,A
59284,660359,GB,JJ-0775,Illegal Shift,3,5,A
59285,660375,GB,JP-2000,Defensive Offside,4,5,A
59286,660389,GB,AR-1300,Delay of Game,3,5,A
59287,660395,PIT,DD-0750,False Start,1,5,A
59288,660422,BAL,MW-2450,Illegal Shift,3,5,A
59289,660452,BAL,LW-0700,Illegal Use of Hands,5,5,A
59290,660460,BAL,KJ-1400,Unnecessary Roughness,6,15,A
59291,660465,BAL,AL-0650,Defensive Offside,4,0,D
59292,660467,BAL,NB-0450,False Start,1,5,A
59293,660472,PIT,DD-0750,False Start,1,5,A
59294,660489,PIT,RG-1250,Player Out of Bounds on Punt,3,5,A
59295,660504,PIT,AB-1950,Defensive Holding,5,5,A
59296,660575,MIA,RM-1500,False Start,1,5,A
59297,660582,MIA,NH-1225,Offensive Holding,2,10,A
59298,660586,MIA,BM-0775,False Start,1,5,A
59299,660602,NYJ,MW-2250,Illegal Block Above the Waist,7,10,A
59300,660606,NYJ,RF-0500,Delay of Game,3,5,A
59301,660613,MIA,ZB-0200,Defensive Holding,5,5,A
59302,660617,NYJ,NM-0200,Offensive Holding,2,10,A
59303,660622,MIA,SP-0800,Offensive Holding,2,10,A
59304,660625,NYJ,DR-1100,Defensive Pass Interference,5,36,A
59305,660626,NYJ,MG-0600,Defensive Pass Interference,5,22,A
59306,660635,NYJ,BM-0300,False Start,1,5,A
59307,660642,MIA,NS-0800,Neutral Zone,4,5,A
59308,660657,NYJ,LM-0550,Unnecessary Roughness,6,0,D
59309,660657,NYJ,DM-1550,Illegal Block Above the Waist,7,10,A
59310,660677,NYJ,BW-2670,False Start,1,5,A
59311,660680,MIA,DS-1760,Roughing the Passer,6,15,A
59312,660685,NYJ,AC-2400,Defensive Pass Interference,5,28,A
59313,660692,NYJ,RF-0500,Delay of Game,3,5,A
59314,660702,NYJ,BW-2670,Offensive Holding,2,10,A
59315,660714,NYJ,BG-0500,Offensive Holding,2,10,A
59316,660717,NYJ,MG-0600,Defensive Holding,5,5,A
59317,660725,NYJ,BS-2300,Defensive Holding,5,2,A
59318,660726,MIA,DP-0350,Offensive Pass Interference,2,10,A
59319,660730,MIA,JL-0215,Unsportsmanlike Conduct,6,15,A
59320,660736,MIA,SP-0800,Running Into the Kicker,6,0,D
59321,660759,IND,,Illegal Formation,3,0,D
59322,660767,IND,JR-1600,Ineligible Downfield Pass,3,5,A
59323,660767,IND,JH-2250,Illegal Formation,3,0,D
59324,660787,JAC,LJ-0750,False Start,1,5,A
59325,660791,IND,JM-4150,Offensive Holding,2,0,D
59326,660803,JAC,JS-0230,Defensive Pass Interference,5,4,A
59327,660806,JAC,CC-2600,Roughing the Passer,6,15,A
59328,660808,JAC,AC-2250,Face Mask,6,15,A
59329,660811,JAC,DH-4000,Defensive Pass Interference,5,6,A
59330,660812,JAC,JS-0230,12 On-field,3,2,A
59331,660835,JAC,JP-0900,False Start,1,5,A
59332,660840,JAC,JP-0900,Offensive Holding,2,10,A
59333,660846,JAC,DH-4000,Defensive Holding,5,0,D
59334,660853,JAC,AB-2730,Neutral Zone,4,5,A
59335,660854,IND,MH-1600,Delay of Game,3,5,A
59336,660863,JAC,NM-0250,Player Out of Bounds on Punt,3,5,A
59337,660872,IND,PM-0300,Delay of Game,3,5,A
59338,660877,JAC,,Illegal Formation,3,5,A
59339,660885,JAC,TS-2050,Unnecessary Roughness,6,10,A
59340,660887,IND,JR-1600,Illegal Formation,3,0,D
59341,660896,JAC,BA-0850,Delay of Game,3,5,A
59342,660904,IND,VD-0200,Defensive Pass Interference,5,30,A
59343,660953,BUF,SG-0650,Defensive Pass Interference,5,8,A
59344,660968,NYG,LD-0650,False Start,1,2,A
59345,660979,NYG,SV-0200,Offensive Pass Interference,2,10,A
59346,660980,NYG,EM-0200,Delay of Game,3,5,A
59347,660984,BUF,CH-3350,Offensive Holding,2,5,A
59348,660988,NYG,GS-0400,False Start,1,5,A
59349,660993,BUF,CK-0950,False Start,1,5,A
59350,660999,BUF,JH-5900,Unnecessary Roughness,6,15,A
59351,661003,BUF,KW-1600,Illegal Formation,3,5,A
59352,661005,BUF,RD-0050,Defensive Holding,5,5,A
59353,661013,BUF,DW-3950,Player Out of Bounds on Punt,3,5,A
59354,661023,BUF,CC-2100,Offensive Pass Interference,2,6,A
59355,661036,BUF,CK-0950,False Start,1,5,A
59356,661048,BUF,TT-0500,Illegal Forward Pass,3,2,A
59357,661050,NYG,GS-0400,Ineligible Downfield Pass,3,5,A
59358,661051,NYG,EM-0200,Delay of Game,3,5,A
59359,661062,NYG,JH-5450,Defensive Pass Interference,5,28,A
59360,661063,BUF,MG-1250,False Start,1,5,A
59361,661064,BUF,KU-0200,Offensive Holding,2,10,A
59362,661068,NYG,,12 On-field,3,5,A
59363,661075,NYG,EF-0075,False Start,1,5,A
59364,661104,BUF,PB-0750,Unnecessary Roughness,6,15,A
59365,661105,BUF,JH-5900,Unsportsmanlike Conduct,6,12,A
59366,661106,NYG,MN-0400,Offensive Holding,2,10,A
59367,661109,BUF,PB-0750,Unsportsmanlike Conduct,6,7,A
59368,661119,BUF,RI-0100,Offensive Holding,2,10,A
59369,661122,BUF,RI-0100,Chop Block,7,15,A
59370,661127,NYG,DM-2950,Defensive Offside,4,5,A
59371,661146,TB,GC-0400,Illegal Formation,3,0,O
59372,661146,CAR,CT-1500,Defensive Holding,5,0,O
59373,661156,TB,JS-4037,Illegal Use of Hands,5,5,A
59374,661166,TB,JW-5650,Intentional Grounding,3,13,A
59375,661174,CAR,ST-0550,Unnecessary Roughness,6,15,A
59376,661202,CAR,MR-0645,False Start,1,5,A
59377,661205,CAR,MO-0200,Illegal Formation,3,0,D
59378,661212,CAR,AK-0650,Defensive Holding,5,5,A
59379,661243,TB,LM-1800,Illegal Shift,3,5,A
59380,661279,TB,WG-0550,Face Mask,6,13,A
59381,661285,TB,JW-5650,Intentional Grounding,3,12,A
59382,661293,CAR,ST-0550,Illegal Contact,5,5,A
59383,661302,WAS,RG-1650,Illegal Formation,3,5,A
59384,661304,WAS,MM-5450,Clipping,7,11,A
59385,661309,PHI,FC-0400,Neutral Zone,4,5,A
59386,661340,WAS,JR-1150,Illegal Touch Pass,3,0,D
59387,661344,WAS,DG-1300,Illegal Contact,5,5,A
59388,661348,PHI,JH-5750,Illegal Shift,3,5,A
59389,661357,PHI,ER-0475,Defensive Pass Interference,5,17,A
59390,661367,WAS,MM-5450,Offensive Holding,2,0,D
59391,661372,PHI,NA-0050,Illegal Formation,3,5,A
59392,661385,PHI,JK-0500,Offensive Holding,2,10,A
59393,661392,WAS,QD-0400,Unnecessary Roughness,6,15,A
59394,661394,WAS,TR-0620,Unnecessary Roughness,6,14,A
59395,661403,WAS,PG-0100,Face Mask,6,15,A
59396,661412,PHI,JM-1550,Offensive Pass Interference,2,0,D
59397,661414,WAS,TW-2800,Ineligible Downfield Pass,3,5,A
59398,661421,WAS,TR-0620,Unnecessary Roughness,6,15,A
59399,661429,PHI,ER-0475,Unnecessary Roughness,6,15,A
59400,661434,WAS,RJ-0550,Roughing the Passer,6,15,A
59401,661437,PHI,BC-0700,Offensive Holding,2,10,A
59402,661449,WAS,BB-2725,Illegal Use of Hands,5,10,A
59403,661455,PHI,NC-0100,Defensive Holding,5,5,A
59404,661461,WAS,BS-0950,Offensive Holding,2,0,O
59405,661461,PHI,NC-0100,Defensive Holding,5,0,O
59406,661494,CHI,KL-0550,Offensive Holding,2,0,D
59407,661496,OAK,DH-2150,Offensive Holding,2,7,A
59408,661503,CHI,,Offensive Holding,2,10,A
59409,661519,CHI,KL-0550,Offensive Holding,2,8,A
59410,661521,CHI,CL-0862,Offensive Holding,2,5,A
59411,661534,OAK,NT-0150,Face Mask,6,9,A
59412,661542,CHI,ZM-0250,Offensive Holding,2,10,A
59413,661561,CHI,TP-2000,Illegal Use of Hands,5,5,A
59414,661568,CHI,VD-0300,False Start,1,5,A
59415,661577,CHI,VD-0300,Offensive Holding,2,0,D
59416,661592,OAK,NT-0150,Defensive Pass Interference,5,22,A
59417,661595,CHI,ER-0500,Delay of Game,3,5,A
59418,661612,OAK,,Unsportsmanlike Conduct,6,9,A
59419,661637,OAK,RH-1600,Illegal Forward Pass,3,0,A
59420,661664,HOU,JC-3350,Illegal Use of Hands,5,5,A
59421,661665,ATL,AL-0700,Offensive Holding,2,10,A
59422,661668,HOU,KJ-0650,Illegal Contact,5,6,A
59423,661669,ATL,RW-2200,Offensive Pass Interference,2,10,A
59424,661676,ATL,JM-1450,False Start,1,5,A
59425,661677,HOU,EP-0550,Illegal Use of Hands,5,5,A
59426,661688,ATL,NS-0750,Illegal Formation,3,5,A
59427,661696,HOU,GG-0400,False Start,1,5,A
59428,661722,ATL,VB-0075,Defensive Offside,4,5,A
59429,661732,ATL,RH-0150,Face Mask,6,15,A
59430,661751,ATL,LT-0550,Offensive Holding,2,10,A
59431,661754,ATL,LT-0550,False Start,1,5,A
59432,661755,HOU,EP-0550,Defensive Holding,5,0,D
59433,661756,HOU,EP-0550,Unnecessary Roughness,6,14,A
59434,661785,ATL,PA-0100,Defensive Pass Interference,5,0,D
59435,661796,ATL,JH-2050,Offensive Holding,2,10,A
59436,661796,ATL,,Illegal Formation,3,0,D
59437,661805,ATL,BH-0650,False Start,1,5,A
59438,661856,CIN,MJ-1800,Neutral Zone,4,5,A
59439,661862,CIN,AS-2000,Illegal Shift,3,5,A
59440,661864,CIN,RB-2275,Unnecessary Roughness,6,9,A
59441,661870,CIN,DP-0900,Unnecessary Roughness,6,15,A
59442,661887,KC,JM-0200,Offensive Pass Interference,2,10,A
59443,661890,KC,AS-1600,Delay of Game,3,5,A
59444,661894,KC,DA-0350,Offensive Holding,2,10,A
59445,661901,CIN,JS-2050,Illegal Block Above the Waist,7,10,A
59446,661902,CIN,KZ-0050,Offensive Holding,2,10,A
59447,661903,CIN,KZ-0050,Offensive Holding,2,0,D
59448,661909,CIN,MJ-2250,False Start,1,5,A
59449,661914,CIN,DK-0750,Defensive Holding,5,5,A
59450,661923,CIN,AS-2000,False Start,1,5,A
59451,661926,CIN,AW-1100,Offensive Holding,2,10,A
59452,661932,KC,AS-1600,Intentional Grounding,3,10,A
59453,661945,KC,DS-4050,False Start,1,5,A
59454,661968,KC,EF-0050,Illegal Formation,3,5,A
59455,661979,CIN,KH-2600,Delay of Game,3,5,A
59456,661993,CLE,MJ-1175,Offensive Holding,2,10,A
59457,662002,SD,CL-1000,Defensive Offside,4,0,D
59458,662005,CLE,JT-1600,False Start,1,5,A
59459,662009,SD,BF-0800,Defensive Pass Interference,5,6,A
59460,662015,CLE,TW-2700,Defensive Holding,5,5,A
59461,662045,CLE,AM-0100,Offensive Holding,2,10,A
59462,662046,CLE,DJ-1850,Offensive Pass Interference,2,10,A
59463,662062,CLE,PD-0450,Defensive Holding,5,5,A
59464,662065,CLE,JH-5950,Neutral Zone,4,5,A
59465,662075,SD,MI-0150,Neutral Zone,4,5,A
59466,662078,SD,SW-1720,Illegal Use of Hands,5,5,A
59467,662088,SD,KA-0650,False Start,1,5,A
59468,662089,CLE,JB-0450,Defensive Pass Interference,5,16,A
59469,662089,CLE,JB-0450,Face Mask,6,0,D
59470,662091,SD,CH-0200,False Start,1,5,A
59471,662098,CLE,JB-3550,False Start,1,5,A
59472,662116,SD,PR-0300,Delay of Game,3,5,A
59473,662118,CLE,JP-4150,Unnecessary Roughness,6,15,A
59474,662136,CLE,,12 On-field,3,0,A
59475,662160,CLE,TW-2700,Defensive Offside,4,5,A
59476,662165,SF,MW-1750,Illegal Contact,5,5,A
59477,662181,SF,CK-0100,False Start,1,5,A
59478,662188,GB,TL-0300,False Start,1,5,A
59479,662190,GB,,Illegal Formation,3,5,A
59480,662205,GB,LG-0950,Illegal Block Above the Waist,7,0,D
59481,662205,GB,SR-0650,Offensive Holding,2,10,A
59482,662210,SF,EP-0300,Offensive Holding,2,10,A
59483,662213,SF,VM-0250,Offensive Holding,2,10,A
59484,662224,GB,RR-1050,Offensive Holding,2,10,A
59485,662247,GB,DB-0350,Offensive Holding,2,10,A
59486,662253,GB,JS-3500,Offensive Holding,2,10,A
59487,662282,GB,JS-3500,Offensive Holding,2,10,A
59488,662308,GB,AR-1300,Delay of Game,3,5,A
59489,662323,ARI,BM-0360,False Start,1,5,A
59490,662334,STL,JJ-1550,Defensive Pass Interference,5,29,A
59491,662339,STL,CD-0950,Offensive Holding,2,7,A
59492,662342,ARI,AO-0370,Defensive Offside,4,5,A
59493,662392,ARI,JV-0300,Offensive Holding,2,10,A
59494,662401,STL,TA-1050,Illegal Shift,3,5,A
59495,662417,STL,,Illegal Use of Hands,5,5,A
59496,662418,STL,TJ-2250,Defensive Pass Interference,5,0,O
59497,662418,ARI,JC-4550,Offensive Holding,2,0,O
59498,662426,STL,CH-1230,Offensive Holding,2,10,A
59499,662427,STL,GR-0450,False Start,1,5,A
59500,662442,STL,NF-0250,Delay of Game,3,5,A
59501,662483,MIN,SF-0150,Neutral Zone,4,5,A
59502,662503,DEN,CL-0275,Offensive Holding,2,7,A
59503,662505,DEN,DT-0900,False Start,1,3,A
59504,662518,MIN,ZL-0200,Illegal Block Above the Waist,7,5,A
59505,662525,MIN,EG-0900,Neutral Zone,4,5,A
59506,662528,DEN,RH-1000,Illegal Formation,3,5,A
59507,662536,DEN,AT-0100,Defensive Holding,5,5,A
59508,662553,DEN,,12 On-field,3,5,A
59509,662554,DEN,DW-1100,Defensive Offside,4,0,D
59510,662562,MIN,XR-0100,Defensive Pass Interference,5,14,A
59511,662564,MIN,XR-0100,Horse Collar,7,4,A
59512,662568,MIN,CG-2400,Defensive Holding,5,0,D
59513,662575,DEN,MS-0525,Illegal Formation,3,5,A
59514,662586,MIN,EG-0900,Neutral Zone,4,5,A
59515,662594,DEN,TW-0600,Defensive Offside,4,5,A
59516,662601,MIN,MK-0150,False Start,1,5,A
59517,662611,DEN,DW-1100,Defensive Offside,4,5,A
59518,662612,MIN,MW-0500,Face Mask,6,15,A
59519,662623,MIN,XR-0100,Defensive Pass Interference,5,5,A
59520,662664,NO,BB-3400,Defensive Holding,5,5,A
59521,662669,NO,KL-0600,Illegal Use of Hands,5,5,A
59522,662673,NO,DS-5137,Face Mask,6,10,A
59523,662674,NO,DB-3750,Defensive Pass Interference,5,9,A
59524,662680,DAL,BC-0500,Defensive Holding,5,5,A
59525,662691,NO,BB-3400,Defensive Holding,5,5,A
59526,662708,NO,MU-0400,Offensive Holding,2,10,A
59527,662718,DAL,,12 On-field,3,5,A
59528,662723,NO,DB-3750,Illegal Use of Hands,5,5,A
59529,662731,DAL,MC-1350,Defensive Holding,5,5,A
59530,662733,DAL,JW-3050,Illegal Contact,5,5,A
59531,662752,DAL,DS-4750,Illegal Touch Pass,3,5,A
59532,662754,DAL,CW-1850,Player Out of Bounds on Punt,3,5,A
59533,662760,DAL,MC-1350,Illegal Use of Hands,5,0,D
59534,662765,NO,KR-1050,Unsportsmanlike Conduct,6,15,A
59535,662835,DET,HN-0300,Defensive Offside,4,5,A
59536,662864,SEA,DN-1450,False Start,1,5,A
59537,662877,SEA,DN-1450,False Start,1,5,A
59538,662891,DET,TS-3650,Offensive Holding,2,10,A
59539,662898,SEA,JB-5750,Offensive Holding,2,10,A
59540,662908,DET,,Illegal Use of Hands,2,7,A
59541,662916,SEA,BI-0150,Illegal Use of Hands,5,5,A
59542,662918,DET,RR-0250,Unnecessary Roughness,6,15,A
59543,662920,DET,TR-0370,Illegal Block Above the Waist,7,0,D
59544,662927,SEA,RS-1000,Encroachment,4,5,A
59545,662971,HOU,DH-3950,Illegal Shift,3,0,D
59546,662976,HOU,KJ-0650,Player Out of Bounds on Punt,3,5,A
59547,662979,HOU,AB-2250,Face Mask,6,15,A
59548,662997,IND,FG-0200,Chop Block,7,15,A
59549,663000,HOU,JW-1100,Roughing the Passer,6,15,A
59550,663003,IND,,Unsportsmanlike Conduct,6,15,A
59551,663003,IND,JR-1600,Offensive Holding,2,0,D
59552,663008,IND,SM-2950,Roughing the Passer,6,15,A
59553,663016,HOU,OA-0050,Chop Block,7,15,A
59554,663026,HOU,JR-3230,Offensive Holding,2,4,A
59555,663029,IND,RM-1400,Defensive Holding,5,5,A
59556,663034,HOU,DB-4900,False Start,1,5,A
59557,663035,IND,RM-1400,Defensive Offside,4,5,A
59558,663049,HOU,DH-3950,Offensive Pass Interference,2,10,A
59559,663069,HOU,JJ-5000,Defensive Holding,5,5,A
59560,663076,HOU,JC-3350,Face Mask,6,15,A
59561,663077,IND,AC-1200,False Start,1,5,A
59562,663081,HOU,EP-0550,Defensive Holding,5,5,A
59563,663083,HOU,KJ-0100,Defensive Pass Interference,5,6,A
59564,663093,HOU,OA-0050,Offensive Holding,2,10,A
59565,663102,IND,HT-0600,Ineligible Downfield Pass,3,5,A
59566,663106,HOU,DH-3950,Unsportsmanlike Conduct,6,15,A
59567,663130,CHI,JL-0280,Offensive Holding,2,10,A
59568,663131,CHI,ZM-0250,False Start,1,4,A
59569,663140,CHI,CL-0862,False Start,1,5,A
59570,663142,CHI,MB-1800,Offensive Holding,2,10,A
59571,663164,CHI,SM-2300,Defensive Holding,5,5,A
59572,663173,KC,HA-0200,Illegal Block Above the Waist,7,10,A
59573,663218,KC,SS-1700,Defensive Pass Interference,5,0,D
59574,663222,CHI,CL-0862,Illegal Use of Hands,2,0,D
59575,663229,KC,EF-0050,Offensive Holding,2,0,D
59576,663259,KC,JH-5550,Roughing the Passer,6,15,A
59577,663275,KC,MP-0950,Defensive Pass Interference,5,24,A
59578,663278,CHI,,Illegal Shift,3,0,D
59579,663279,CHI,LR-0350,Face Mask,6,15,A
59580,663303,CIN,TK-0850,Offensive Holding,2,5,A
59581,663305,CIN,AW-1100,Offensive Holding,2,10,A
59582,663319,CIN,CB-2000,False Start,1,5,A
59583,663326,SEA,JB-5750,False Start,1,1,A
59584,663332,SEA,RW-3850,Delay of Game,3,5,A
59585,663338,SEA,KC-0900,Defensive Holding,5,5,A
59586,663341,SEA,MB-1900,Neutral Zone,4,5,A
59587,663348,SEA,MB-1900,Unnecessary Roughness,6,15,A
59588,663378,SEA,BD-0150,Offside on Free Kick,3,5,A
59589,663380,SEA,CW-2300,Defensive Pass Interference,5,29,A
59590,663386,CIN,DP-0900,Defensive Offside,4,5,A
59591,663391,CIN,PD-0150,Illegal Block Above the Waist,7,10,A
59592,663392,CIN,AS-2000,Offensive Holding,2,10,A
59593,663429,CIN,AJ-1200,Invalid Fair Catch Signal,8,5,A
59594,663432,SEA,CW-2300,Defensive Pass Interference,5,27,A
59595,663443,SEA,RO-0400,Offensive Holding,2,10,A
59596,663453,SEA,GG-0335,Clipping,7,10,A
59597,663466,WAS,TW-2800,Offensive Holding,2,10,A
59598,663490,ATL,PS-0600,Encroachment,4,5,A
59599,663506,WAS,WB-0700,Illegal Contact,5,5,A
59600,663532,WAS,DE-1300,Unsportsmanlike Conduct,6,15,A
59601,663565,ATL,RW-2200,False Start,1,5,A
59602,663566,WAS,BB-2725,Horse Collar,7,15,A
59603,663575,ATL,RA-0675,Offensive Holding,2,10,A
59604,663579,WAS,WB-0700,Defensive Pass Interference,5,6,A
59605,663590,ATL,DT-1970,Defensive Holding,5,0,D
59606,663592,ATL,RA-0650,Defensive Pass Interference,5,42,A
59607,663628,WAS,AM-1400,Offensive Holding,2,0,O
59608,663628,ATL,DT-1970,Defensive Holding,5,0,O
59609,663644,JAC,AC-0250,Illegal Use of Hands,2,0,D
59610,663661,TB,TM-1700,Defensive Offside,4,5,A
59611,663672,TB,JH-2900,False Start,1,5,A
59612,663676,JAC,JP-0900,False Start,1,5,A
59613,663688,TB,JS-4037,Neutral Zone,4,5,A
59614,663707,TB,GC-0400,Ineligible Downfield Pass,3,5,A
59615,663712,JAC,NJ-0150,Illegal Formation,3,0,O
59616,663712,TB,MJ-0900,Defensive Pass Interference,5,0,O
59617,663717,TB,TJ-1000,Illegal Use of Hands,5,0,D
59618,663724,TB,RF-1150,False Start,1,5,A
59619,663726,TB,AM-0750,Offensive Holding,2,10,A
59620,663727,JAC,,12 On-field,3,5,A
59621,663734,TB,TJ-1000,Defensive Pass Interference,5,12,A
59622,663741,TB,AM-0750,Illegal Formation,3,5,A
59623,663762,JAC,JC-6400,Defensive Holding,5,2,A
59624,663770,TB,DD-3050,Illegal Block Above the Waist,7,10,A
59625,663775,TB,AM-0750,Offensive Holding,2,10,A
59626,663834,NO,DB-3750,Defensive Pass Interference,5,13,A
59627,663835,PHI,NA-0050,Offensive Pass Interference,2,10,A
59628,663857,PHI,,False Start,1,5,A
59629,663871,PHI,JM-1550,Offensive Pass Interference,2,0,O
59630,663871,NO,KL-0600,Face Mask,6,0,O
59631,663873,NO,BD-0950,Illegal Block Above the Waist,7,10,A
59632,663875,PHI,,Unsportsmanlike Conduct,6,15,A
59633,663902,NO,CJ-2400,Roughing the Passer,6,15,A
59634,663936,NO,DE-0600,Face Mask,6,15,A
59635,663937,NO,KW-1400,Neutral Zone,4,5,A
59636,663948,NO,BB-3400,Face Mask,6,15,A
59637,663952,NO,BB-3400,Defensive Holding,5,5,A
59638,663954,PHI,LJ-0850,False Start,1,5,A
59639,663979,BAL,ZO-0100,Offensive Holding,2,8,A
59640,663987,CLE,JP-4150,Chop Block,7,15,A
59641,664018,BAL,ED-1000,Defensive Offside,4,5,A
59642,664021,BAL,TW-0145,Offensive Holding,2,10,A
59643,664029,BAL,LG-1000,Roughing the Passer,6,15,A
59644,664033,CLE,GB-0200,Illegal Formation,3,5,A
59645,664045,CLE,TC-2450,Unnecessary Roughness,6,15,A
59646,664051,BAL,DW-0675,Illegal Block Above the Waist,7,10,A
59647,664056,CLE,JM-2900,Delay of Game,3,5,A
59648,664064,BAL,WH-0750,Unnecessary Roughness,6,15,A
59649,664074,CLE,DS-1850,Unsportsmanlike Conduct,6,9,A
59650,664075,BAL,NB-0450,Offensive Holding,2,10,A
59651,664078,CLE,RS-2800,Defensive Offside,4,0,D
59652,664080,BAL,KJ-1400,Offside on Free Kick,3,5,A
59653,664091,CLE,JM-2900,Delay of Game,3,5,A
59654,664093,BAL,JB-0100,Illegal Use of Hands,5,5,A
59655,664095,BAL,KL-0800,Illegal Contact,5,0,D
59656,664099,BAL,,Illegal Shift,3,5,A
59657,664124,CLE,DS-1850,Unnecessary Roughness,6,0,A
59658,664129,CLE,GB-0200,Illegal Formation,3,5,A
59659,664131,BAL,ZS-0075,Defensive Offside,4,5,A
59660,664134,BAL,JB-0100,Defensive Offside,4,5,A
59661,664142,CLE,KW-1550,Unnecessary Roughness,6,15,A
59662,664183,STL,NF-0100,Neutral Zone,4,5,A
59663,664192,GB,JT-1650,Illegal Contact,5,0,D
59664,664197,STL,JH-3230,Delay of Game,3,5,A
59665,664201,STL,WH-0300,Defensive Offside,4,5,A
59666,664213,STL,NF-0250,Delay of Game,3,5,A
59667,664220,STL,NF-0250,Delay of Game,3,5,A
59668,664226,GB,TL-0300,Offensive Holding,2,0,D
59669,664235,GB,HC-0050,Defensive Pass Interference,5,32,A
59670,664252,STL,JB-6725,False Start,1,5,A
59671,664257,GB,AR-1300,Delay of Game,3,5,A
59672,664258,STL,AA-1900,Defensive Holding,5,5,A
59673,664264,STL,DB-0975,Defensive Offside,4,5,A
59674,664276,GB,RR-1050,Illegal Block Above the Waist,7,5,A
59675,664299,GB,BB-3700,False Start,1,5,A
59676,664306,GB,RR-1050,Illegal Use of Hands,2,10,A
59677,664329,GB,,12 On-field,3,5,A
59678,664335,GB,,12 On-field,3,5,A
59679,664341,BUF,ME-0100,Offside on Free Kick,3,5,A
59680,664349,TEN,DM-1200,False Start,1,5,A
59681,664358,BUF,CG-1700,Defensive Pass Interference,5,15,A
59682,664365,BUF,TT-0500,Delay of Game,3,4,A
59683,664367,TEN,MH-3650,Illegal Block Above the Waist,7,10,A
59684,664375,TEN,TL-0775,Offensive Holding,2,10,A
59685,664387,TEN,HD-0300,Offensive Pass Interference,2,10,A
59686,664388,TEN,JH-6400,Illegal Shift,3,5,A
59687,664408,TEN,MG-1800,Illegal Contact,5,5,A
59688,664416,TEN,TL-0775,Illegal Use of Hands,2,9,A
59689,664423,BUF,CG-1250,Offensive Holding,2,0,D
59690,664428,BUF,DW-3950,Illegal Block Above the Waist,7,0,D
59691,664446,TEN,DJ-2250,Defensive Offside,4,0,O
59692,664446,BUF,RW-4050,Offensive Pass Interference,2,0,O
59693,664449,TEN,ZB-0400,Illegal Block Above the Waist,7,5,A
