pid,bc,yds
653724,AE-0750,14
653725,CJ-1700,6
653726,CJ-1700,2
653729,AE-0750,1
653733,MI-0100,9
653734,MI-0100,4
653741,KR-1050,4
653742,MI-0100,4
653748,CJ-1700,-1
653765,CP-0500,12
653768,MI-0100,2
653773,AE-0750,4
653774,AE-0750,1
653778,KR-1050,6
653782,MI-0100,-3
653790,AE-0750,10
653792,MI-0100,9
653794,MI-0100,-3
653798,AE-0750,3
653799,AE-0750,3
653803,KR-1050,1
653809,KR-1050,1
653814,AE-0750,16
653815,AE-0750,2
653817,CJ-1700,12
653818,CJ-1700,5
653826,MI-0100,1
653831,CJ-1700,6
653832,CJ-1700,2
653834,CJ-1700,4
653835,CJ-1700,-1
653842,CJ-1700,2
653851,CP-0500,-1
653853,JB-2700,1
653855,JB-2700,7
653860,AA-0025,24
653864,MG-1150,-2
653868,ZZ-0100,4
653872,MG-1150,5
653873,MG-1150,-2
653874,DW-4300,10
653877,MG-1150,14
653878,DW-4300,0
653881,MG-1150,7
653885,JB-2700,6
653889,MG-1150,6
653898,ZZ-0100,2
653899,AA-0025,4
653904,BO-0150,1
653906,BO-0150,3
653908,DW-4300,7
653909,DW-4300,2
653911,DW-4300,9
653914,AA-0025,5
653915,JB-2700,0
653919,MG-1150,6
653920,MG-1150,0
653922,DW-4300,1
653930,MS-4100,-1
653937,MG-1150,5
653940,DW-4300,2
653950,MG-1150,5
653951,MG-1150,4
653952,JB-2700,-1
653955,DW-4300,3
653956,DW-4300,1
653961,AA-0025,6
653963,AA-0025,2
653967,MG-1150,3
653970,DW-4300,4
653977,AA-0025,11
653978,JB-2700,1
653980,AA-0025,-2
653985,MG-1150,1
653989,MG-1150,-1
653991,DW-4300,2
653994,DW-4300,1
654006,PR-0300,-1
654007,PR-0300,-1
654010,BS-0650,0
654016,DM-0450,5
654017,DM-0450,2
654022,DM-0450,-2
654023,JW-5650,3
654025,BS-0650,7
654035,DM-0450,5
654036,DM-0450,14
654037,DM-0450,14
654038,DM-0450,3
654041,JW-5650,5
654042,JW-5650,0
654044,DM-0450,0
654050,DM-1200,3
654053,BS-0650,3
654055,JW-5650,1
654056,DM-0450,7
654057,JW-5650,1
654058,DM-0450,0
654059,TW-1350,5
654061,BS-0650,16
654062,TW-1350,12
654063,TW-1350,1
654064,BS-0650,3
654066,TW-1350,1
654067,MM-0912,-3
654072,JW-5650,8
654075,MM-0912,9
654076,TW-1350,3
654078,TW-1350,1
654079,TW-1350,0
654094,BS-0650,16
654095,BS-0650,5
654096,BS-0650,5
654101,BS-0650,1
654106,DM-0450,4
654109,BS-0650,3
654111,BS-0650,14
654112,BS-0650,1
654113,TW-1350,5
654117,JL-0260,0
654119,CS-1950,1
654122,DM-1200,5
654123,TW-1350,6
654124,TW-1350,1
654125,CS-1950,7
654126,CS-1950,2
654127,CS-1950,1
654130,CS-1950,1
654137,TW-1350,0
654139,TW-1350,6
654140,TW-1350,0
654147,BR-0050,-2
654154,BR-0050,7
654162,ZM-0150,-1
654163,ZM-0150,-2
654164,ZM-0150,-2
654166,BR-0050,5
654169,LM-1850,2
654173,JH-4025,5
654174,JH-4025,10
654177,AD-0100,3
654179,JH-4025,6
654180,JH-4025,3
654181,JH-4025,0
654182,JH-4025,3
654190,TJ-2400,1
654194,JH-4025,11
654199,LM-1850,2
654201,LM-1850,7
654202,LM-1850,2
654206,LM-1850,3
654209,GB-0350,0
654219,LM-1850,5
654222,LM-1850,1
654223,TJ-2400,0
654224,DC-0725,8
654225,LM-1850,0
654229,GB-0350,6
654230,JH-4025,1
654232,JH-4025,2
654237,LM-1850,12
654240,GB-0350,13
654247,LM-1850,8
654249,JH-4025,1
654251,JH-4025,-1
654258,JH-4025,0
654264,LM-1850,2
654268,JH-4025,4
654271,JH-4025,7
654273,GB-0350,28
654274,GB-0350,1
654280,JH-4025,2
654281,JH-4025,-2
654285,TJ-2400,4
654292,JH-4025,2
654309,JH-4025,7
654310,JH-4025,2
654311,AD-0100,0
654316,JO-0550,6
654325,GB-0350,6
654326,GB-0350,6
654327,GB-0350,3
654328,AD-0100,-1
654329,AD-0100,-1
654332,JF-2800,2
654334,JF-2800,0
654338,CA-0750,3
654340,CA-0750,5
654344,CA-0750,1
654348,RH-2350,7
654351,CA-0750,-1
654356,JF-2800,3
654360,CA-0750,2
654367,JF-2800,4
654368,JF-2800,-1
654376,RH-2350,2
654381,JF-2800,6
654383,JA-1025,8
654384,JA-1025,3
654385,JA-1025,4
654386,JF-2800,-1
654389,CA-0750,5
654392,CA-0750,1
654397,JF-2800,0
654412,CA-0750,0
654416,RH-2350,0
654421,JF-2800,1
654422,JF-2800,-1
654424,JA-1025,0
654429,RH-2350,1
654430,RH-2350,1
654434,JF-2800,1
654445,JA-1025,5
654446,JA-1025,6
654447,JA-1025,4
654448,JF-2800,0
654452,JA-1025,0
654454,JA-1025,0
654459,CA-0750,0
654460,CA-0750,6
654461,RH-2350,11
654462,RH-2350,9
654463,RH-2350,4
654464,RH-2350,-1
654468,RH-2350,9
654469,RH-2350,2
654470,CA-0750,2
654473,CA-0750,5
654474,RH-2350,-4
654479,JF-2800,9
654486,JF-2800,20
654493,PM-0200,-1
654495,JR-0250,2
654496,JR-0250,3
654500,JR-0250,3
654501,JR-0250,5
654503,JR-0250,15
654506,JR-0250,0
654516,RJ-0800,2
654518,RJ-0800,7
654520,RJ-0800,2
654524,JR-0250,3
654527,JR-0250,5
654528,JR-0250,3
