pid,qtr,min,sec,dwn,yds,pts,player,type
657733,1,6,39,2,1,7,AW-1350,RUSH
657829,4,13,46,2,30,7,OB-0075,REC
657864,4,3,44,2,4,8,CT-1220,REC
657869,4,3,29,3,41,7,RR-0130,REC
657871,4,3,21,0,101,7,RR-1150,KR
657890,1,14,3,1,37,7,JR-0250,RUSH
657904,1,7,12,1,1,7,JR-0250,RUSH
657918,1,3,5,1,3,7,DF-1875,RUSH
657940,2,7,31,1,2,7,DM-1600,RUSH
657955,2,2,23,3,2,7,DF-1875,RUSH
657963,2,0,46,1,1,7,JR-0250,RUSH
657992,3,7,16,3,45,8,JJ-4700,REC
658014,4,11,30,1,7,7,DF-1875,RUSH
658031,4,3,9,3,2,7,JJ-4700,REC
658066,1,5,46,2,1,7,FG-0200,RUSH
658085,2,13,12,3,69,7,DL-2300,INT
658117,2,0,24,2,7,7,KW-2550,REC
658136,3,9,57,1,8,7,AA-1350,RUSH
658140,3,9,41,1,3,7,DG-2650,REC
658186,4,6,58,3,35,7,PD-0800,REC
658191,4,5,59,1,11,7,DM-2775,REC
658202,4,2,57,3,6,7,FG-0200,RUSH
658214,4,0,51,1,1,6,JF-2950,RUSH
658281,2,6,49,2,3,7,AH-3600,REC
658303,2,0,24,3,13,7,SR-0750,REC
658338,3,3,38,3,28,7,GB-0200,REC
658347,4,14,32,2,6,7,LM-1850,RUSH
658372,4,6,32,2,4,7,TB-1060,REC
658418,1,7,27,3,7,7,AD-0100,RUSH
658449,2,12,23,2,16,7,MJ-2250,REC
658502,3,6,37,4,50,7,SS-2100,REC
658542,4,7,2,3,41,7,CM-3250,FUM
658545,4,6,49,1,80,7,AG-1500,REC
658556,4,4,3,2,16,7,SS-2100,REC
658564,4,2,16,2,7,7,AG-1500,REC
658585,1,11,59,2,8,7,DL-1700,RUSH
658656,2,0,22,2,1,7,DA-0900,REC
658680,3,9,7,1,1,7,LB-0500,RUSH
658688,3,6,25,3,59,7,AH-3900,REC
658697,3,3,25,2,13,7,KM-0450,REC
658708,4,15,0,2,1,7,LB-0500,RUSH
658732,4,3,34,3,1,7,LB-0500,RUSH
658741,4,1,27,1,6,7,CH-1200,REC
658784,2,11,50,1,5,7,MI-0100,RUSH
658799,2,5,48,2,11,7,GO-0100,REC
658827,3,12,52,4,74,6,MM-5750,PR
658838,3,8,48,2,11,7,GO-0100,REC
658875,4,9,39,3,13,7,CN-0500,RUSH
658887,4,4,55,1,2,6,KR-1050,RUSH
658959,2,12,32,4,89,7,DS-3300,PR
658981,2,5,3,2,23,7,RM-1200,REC
658991,2,2,16,3,1,7,DS-3300,RUSH
659002,2,0,12,2,16,7,BM-0300,REC
659060,4,9,41,2,7,7,JK-1000,REC
659123,1,5,2,2,5,7,DH-3950,REC
659167,2,4,1,2,32,6,CS-1950,REC
659251,4,9,19,1,20,6,AB-1975,RUSH
659336,2,9,9,2,2,7,AP-0700,RUSH
659359,2,1,25,2,34,7,KA-0650,REC
659369,3,12,44,1,43,7,AP-0700,RUSH
659394,3,2,45,1,1,7,ZL-0200,RUSH
659407,4,14,17,3,91,7,CG-2400,INT
659436,4,0,36,1,19,7,KA-0650,REC
659474,2,13,4,1,1,6,LB-0250,RUSH
659584,1,11,15,3,21,7,JB-3350,INT
659590,1,9,14,2,33,7,TM-0850,INT
659614,2,15,0,1,6,7,CJ-1700,RUSH
659631,2,7,55,3,1,7,CJ-1700,RUSH
659647,2,2,11,2,12,7,CK-0100,RUSH
659669,3,12,35,1,4,7,LF-0200,REC
659715,4,5,21,3,8,7,LF-0200,REC
659740,1,12,3,1,25,7,CC-2100,REC
659759,1,6,7,3,10,7,LM-1000,REC
659805,2,1,53,3,43,7,PB-0750,INT
659837,3,5,46,1,21,8,RM-1500,REC
