pid,psr,trg,yds,comp
653320,KC-2350,JR-1150,0,0
653321,KC-2350,PG-0100,0,0
653324,RT-0150,RM-1500,9,1
653326,RT-0150,JL-0215,0,0
653327,RT-0150,RM-1500,0,0
653329,KC-2350,PG-0100,0,0
653330,KC-2350,AR-1100,14,1
653332,KC-2350,PG-0100,12,1
653335,KC-2350,JR-1150,4,1
653336,KC-2350,CT-1220,0,0
653337,KC-2350,JR-1150,0,0
653339,RT-0150,LM-1150,22,1
653347,BB-2425,RG-1812,0,0
653349,CN-0500,TG-0900,0,0
653351,CN-0500,ED-0400,9,1
653352,CN-0500,CB-3850,7,1
653356,CN-0500,JC-5400,0,0
653357,CN-0500,TG-0900,0,0
653358,CN-0500,GO-0100,11,1
653362,CN-0500,ED-0400,0,0
653365,BB-2425,AR-1250,0,0
653370,CN-0500,DF-2200,0,0
653371,CN-0500,TG-0900,0,0
653373,BB-2425,RG-1812,0,0
653375,BB-2425,BP-0650,4,1
653377,BB-2425,RG-1812,5,1
653378,BB-2425,TY-0150,6,1
653380,BB-2425,RG-1812,0,0
653382,BB-2425,AR-1250,0,0
653390,BB-2425,AR-1250,0,0
653391,BB-2425,AH-3900,7,1
653392,BB-2425,AR-1250,27,1
653393,BB-2425,CG-1950,5,1
653396,BB-2425,AH-3900,15,1
653398,BB-2425,AH-3900,3,1
653399,CN-0500,JS-6700,6,1
653400,CN-0500,DF-2200,9,1
653401,CN-0500,GO-0100,0,0
653403,BB-2425,NJ-0150,0,0
653404,BB-2425,RG-1812,0,0
653408,CN-0500,TG-0900,17,1
653409,CN-0500,JC-5400,0,0
653411,CN-0500,JS-6700,4,1
653412,CN-0500,FW-0750,5,1
653413,CN-0500,CB-3850,6,1
653415,CN-0500,MT-1300,6,1
653418,CN-0500,JC-5400,7,1
653421,BB-2425,RG-1812,6,1
653422,BB-2425,RG-1812,6,1
653423,BB-2425,TY-0150,7,1
653424,BB-2425,RG-1812,6,1
653426,BB-2425,TY-0150,3,1
653427,BB-2425,AH-3900,24,1
653428,BB-2425,AR-1250,0,0
653429,BB-2425,RG-1812,1,1
653435,CN-0500,TG-0900,0,0
653436,CN-0500,TG-0900,37,1
653443,BB-2425,AH-3900,11,1
653445,BB-2425,TY-0150,0,0
653449,BB-2425,DR-2250,15,1
653452,BB-2425,AH-3900,0,0
653455,CN-0500,TG-0900,0,0
653456,CN-0500,JC-5400,24,1
653460,CN-0500,FW-0750,-2,1
653467,CN-0500,JC-5400,4,1
653468,CN-0500,MT-1300,0,0
653470,BB-2425,RG-1812,0,1
653471,BB-2425,DR-2250,11,1
